date,value,series_id,series_name
1960-02-01,4.49,GS10,10-Year Treasury Constant Maturity Rate
1960-03-01,4.25,GS10,10-Year Treasury Constant Maturity Rate
1960-04-01,4.28,GS10,10-Year Treasury Constant Maturity Rate
1960-05-01,4.35,GS10,10-Year Treasury Constant Maturity Rate
1960-06-01,4.15,GS10,10-Year Treasury Constant Maturity Rate
1960-07-01,3.9,GS10,10-Year Treasury Constant Maturity Rate
1960-08-01,3.8,GS10,10-Year Treasury Constant Maturity Rate
1960-09-01,3.8,GS10,10-Year Treasury Constant Maturity Rate
1960-10-01,3.89,GS10,10-Year Treasury Constant Maturity Rate
1960-11-01,3.93,GS10,10-Year Treasury Constant Maturity Rate
1960-12-01,3.84,GS10,10-Year Treasury Constant Maturity Rate
1961-01-01,3.84,GS10,10-Year Treasury Constant Maturity Rate
1961-02-01,3.78,GS10,10-Year Treasury Constant Maturity Rate
1961-03-01,3.74,GS10,10-Year Treasury Constant Maturity Rate
1961-04-01,3.78,GS10,10-Year Treasury Constant Maturity Rate
1961-05-01,3.71,GS10,10-Year Treasury Constant Maturity Rate
1961-06-01,3.88,GS10,10-Year Treasury Constant Maturity Rate
1961-07-01,3.92,GS10,10-Year Treasury Constant Maturity Rate
1961-08-01,4.04,GS10,10-Year Treasury Constant Maturity Rate
1961-09-01,3.98,GS10,10-Year Treasury Constant Maturity Rate
1961-10-01,3.92,GS10,10-Year Treasury Constant Maturity Rate
1961-11-01,3.94,GS10,10-Year Treasury Constant Maturity Rate
1961-12-01,4.06,GS10,10-Year Treasury Constant Maturity Rate
1962-01-01,4.08,GS10,10-Year Treasury Constant Maturity Rate
1962-02-01,4.04,GS10,10-Year Treasury Constant Maturity Rate
1962-03-01,3.93,GS10,10-Year Treasury Constant Maturity Rate
1962-04-01,3.84,GS10,10-Year Treasury Constant Maturity Rate
1962-05-01,3.87,GS10,10-Year Treasury Constant Maturity Rate
1962-06-01,3.91,GS10,10-Year Treasury Constant Maturity Rate
1962-07-01,4.01,GS10,10-Year Treasury Constant Maturity Rate
1962-08-01,3.98,GS10,10-Year Treasury Constant Maturity Rate
1962-09-01,3.98,GS10,10-Year Treasury Constant Maturity Rate
1962-10-01,3.93,GS10,10-Year Treasury Constant Maturity Rate
1962-11-01,3.92,GS10,10-Year Treasury Constant Maturity Rate
1962-12-01,3.86,GS10,10-Year Treasury Constant Maturity Rate
1963-01-01,3.83,GS10,10-Year Treasury Constant Maturity Rate
1963-02-01,3.92,GS10,10-Year Treasury Constant Maturity Rate
1963-03-01,3.93,GS10,10-Year Treasury Constant Maturity Rate
1963-04-01,3.97,GS10,10-Year Treasury Constant Maturity Rate
1963-05-01,3.93,GS10,10-Year Treasury Constant Maturity Rate
1963-06-01,3.99,GS10,10-Year Treasury Constant Maturity Rate
1963-07-01,4.02,GS10,10-Year Treasury Constant Maturity Rate
1963-08-01,4.0,GS10,10-Year Treasury Constant Maturity Rate
1963-09-01,4.08,GS10,10-Year Treasury Constant Maturity Rate
1963-10-01,4.11,GS10,10-Year Treasury Constant Maturity Rate
1963-11-01,4.12,GS10,10-Year Treasury Constant Maturity Rate
1963-12-01,4.13,GS10,10-Year Treasury Constant Maturity Rate
1964-01-01,4.17,GS10,10-Year Treasury Constant Maturity Rate
1964-02-01,4.15,GS10,10-Year Treasury Constant Maturity Rate
1964-03-01,4.22,GS10,10-Year Treasury Constant Maturity Rate
1964-04-01,4.23,GS10,10-Year Treasury Constant Maturity Rate
1964-05-01,4.2,GS10,10-Year Treasury Constant Maturity Rate
1964-06-01,4.17,GS10,10-Year Treasury Constant Maturity Rate
1964-07-01,4.19,GS10,10-Year Treasury Constant Maturity Rate
1964-08-01,4.19,GS10,10-Year Treasury Constant Maturity Rate
1964-09-01,4.2,GS10,10-Year Treasury Constant Maturity Rate
1964-10-01,4.19,GS10,10-Year Treasury Constant Maturity Rate
1964-11-01,4.15,GS10,10-Year Treasury Constant Maturity Rate
1964-12-01,4.18,GS10,10-Year Treasury Constant Maturity Rate
1965-01-01,4.19,GS10,10-Year Treasury Constant Maturity Rate
1965-02-01,4.21,GS10,10-Year Treasury Constant Maturity Rate
1965-03-01,4.21,GS10,10-Year Treasury Constant Maturity Rate
1965-04-01,4.2,GS10,10-Year Treasury Constant Maturity Rate
1965-05-01,4.21,GS10,10-Year Treasury Constant Maturity Rate
1965-06-01,4.21,GS10,10-Year Treasury Constant Maturity Rate
1965-07-01,4.2,GS10,10-Year Treasury Constant Maturity Rate
1965-08-01,4.25,GS10,10-Year Treasury Constant Maturity Rate
1965-09-01,4.29,GS10,10-Year Treasury Constant Maturity Rate
1965-10-01,4.35,GS10,10-Year Treasury Constant Maturity Rate
1965-11-01,4.45,GS10,10-Year Treasury Constant Maturity Rate
1965-12-01,4.62,GS10,10-Year Treasury Constant Maturity Rate
1966-01-01,4.61,GS10,10-Year Treasury Constant Maturity Rate
1966-02-01,4.83,GS10,10-Year Treasury Constant Maturity Rate
1966-03-01,4.87,GS10,10-Year Treasury Constant Maturity Rate
1966-04-01,4.75,GS10,10-Year Treasury Constant Maturity Rate
1966-05-01,4.78,GS10,10-Year Treasury Constant Maturity Rate
1966-06-01,4.81,GS10,10-Year Treasury Constant Maturity Rate
1966-07-01,5.02,GS10,10-Year Treasury Constant Maturity Rate
1966-08-01,5.22,GS10,10-Year Treasury Constant Maturity Rate
1966-09-01,5.18,GS10,10-Year Treasury Constant Maturity Rate
1966-10-01,5.01,GS10,10-Year Treasury Constant Maturity Rate
1966-11-01,5.16,GS10,10-Year Treasury Constant Maturity Rate
1966-12-01,4.84,GS10,10-Year Treasury Constant Maturity Rate
1967-01-01,4.58,GS10,10-Year Treasury Constant Maturity Rate
1967-02-01,4.63,GS10,10-Year Treasury Constant Maturity Rate
1967-03-01,4.54,GS10,10-Year Treasury Constant Maturity Rate
1967-04-01,4.59,GS10,10-Year Treasury Constant Maturity Rate
1967-05-01,4.85,GS10,10-Year Treasury Constant Maturity Rate
1967-06-01,5.02,GS10,10-Year Treasury Constant Maturity Rate
1967-07-01,5.16,GS10,10-Year Treasury Constant Maturity Rate
1967-08-01,5.28,GS10,10-Year Treasury Constant Maturity Rate
1967-09-01,5.3,GS10,10-Year Treasury Constant Maturity Rate
1967-10-01,5.48,GS10,10-Year Treasury Constant Maturity Rate
1967-11-01,5.75,GS10,10-Year Treasury Constant Maturity Rate
1967-12-01,5.7,GS10,10-Year Treasury Constant Maturity Rate
1968-01-01,5.53,GS10,10-Year Treasury Constant Maturity Rate
1968-02-01,5.56,GS10,10-Year Treasury Constant Maturity Rate
1968-03-01,5.74,GS10,10-Year Treasury Constant Maturity Rate
1968-04-01,5.64,GS10,10-Year Treasury Constant Maturity Rate
1968-05-01,5.87,GS10,10-Year Treasury Constant Maturity Rate
1968-06-01,5.72,GS10,10-Year Treasury Constant Maturity Rate
1968-07-01,5.5,GS10,10-Year Treasury Constant Maturity Rate
1968-08-01,5.42,GS10,10-Year Treasury Constant Maturity Rate
1968-09-01,5.46,GS10,10-Year Treasury Constant Maturity Rate
1968-10-01,5.58,GS10,10-Year Treasury Constant Maturity Rate
1968-11-01,5.7,GS10,10-Year Treasury Constant Maturity Rate
1968-12-01,6.03,GS10,10-Year Treasury Constant Maturity Rate
1969-01-01,6.04,GS10,10-Year Treasury Constant Maturity Rate
1969-02-01,6.19,GS10,10-Year Treasury Constant Maturity Rate
1969-03-01,6.3,GS10,10-Year Treasury Constant Maturity Rate
1969-04-01,6.17,GS10,10-Year Treasury Constant Maturity Rate
1969-05-01,6.32,GS10,10-Year Treasury Constant Maturity Rate
1969-06-01,6.57,GS10,10-Year Treasury Constant Maturity Rate
1969-07-01,6.72,GS10,10-Year Treasury Constant Maturity Rate
1969-08-01,6.69,GS10,10-Year Treasury Constant Maturity Rate
1969-09-01,7.16,GS10,10-Year Treasury Constant Maturity Rate
1969-10-01,7.1,GS10,10-Year Treasury Constant Maturity Rate
1969-11-01,7.14,GS10,10-Year Treasury Constant Maturity Rate
1969-12-01,7.65,GS10,10-Year Treasury Constant Maturity Rate
1970-01-01,7.79,GS10,10-Year Treasury Constant Maturity Rate
1970-02-01,7.24,GS10,10-Year Treasury Constant Maturity Rate
1970-03-01,7.07,GS10,10-Year Treasury Constant Maturity Rate
1970-04-01,7.39,GS10,10-Year Treasury Constant Maturity Rate
1970-05-01,7.91,GS10,10-Year Treasury Constant Maturity Rate
1970-06-01,7.84,GS10,10-Year Treasury Constant Maturity Rate
1970-07-01,7.46,GS10,10-Year Treasury Constant Maturity Rate
1970-08-01,7.53,GS10,10-Year Treasury Constant Maturity Rate
1970-09-01,7.39,GS10,10-Year Treasury Constant Maturity Rate
1970-10-01,7.33,GS10,10-Year Treasury Constant Maturity Rate
1970-11-01,6.84,GS10,10-Year Treasury Constant Maturity Rate
1970-12-01,6.39,GS10,10-Year Treasury Constant Maturity Rate
1971-01-01,6.24,GS10,10-Year Treasury Constant Maturity Rate
1971-02-01,6.11,GS10,10-Year Treasury Constant Maturity Rate
1971-03-01,5.7,GS10,10-Year Treasury Constant Maturity Rate
1971-04-01,5.83,GS10,10-Year Treasury Constant Maturity Rate
1971-05-01,6.39,GS10,10-Year Treasury Constant Maturity Rate
1971-06-01,6.52,GS10,10-Year Treasury Constant Maturity Rate
1971-07-01,6.73,GS10,10-Year Treasury Constant Maturity Rate
1971-08-01,6.58,GS10,10-Year Treasury Constant Maturity Rate
1971-09-01,6.14,GS10,10-Year Treasury Constant Maturity Rate
1971-10-01,5.93,GS10,10-Year Treasury Constant Maturity Rate
1971-11-01,5.81,GS10,10-Year Treasury Constant Maturity Rate
1971-12-01,5.93,GS10,10-Year Treasury Constant Maturity Rate
1972-01-01,5.95,GS10,10-Year Treasury Constant Maturity Rate
1972-02-01,6.08,GS10,10-Year Treasury Constant Maturity Rate
1972-03-01,6.07,GS10,10-Year Treasury Constant Maturity Rate
1972-04-01,6.19,GS10,10-Year Treasury Constant Maturity Rate
1972-05-01,6.13,GS10,10-Year Treasury Constant Maturity Rate
1972-06-01,6.11,GS10,10-Year Treasury Constant Maturity Rate
1972-07-01,6.11,GS10,10-Year Treasury Constant Maturity Rate
1972-08-01,6.21,GS10,10-Year Treasury Constant Maturity Rate
1972-09-01,6.55,GS10,10-Year Treasury Constant Maturity Rate
