Model,TransformationRuntime,FitRuntime,PredictRuntime,TotalRuntime
AverageValueNaive,0.04064019230769231,0.0010936153846153843,0.0011895961538461537,0.04292340384615386
DatepartRegression,0.04403233333333334,0.0,0.06321650000000001,0.10724883333333336
ETS,0.03504608571428571,0.00017097142857142858,0.2743049714285714,0.3095220285714285
FBProphet,0.05404386486486487,0.0002696486486486486,10.21860227027027,10.272915783783784
GLM,0.04285700000000001,9.400000000000001e-05,0.2877201486486487,0.33067114864864866
GLS,0.056059980000000016,0.0009575599999999997,0.06855462,0.12557216000000002
GluonTS,0.0,0.0,0.0,0.0
LastValueNaive,0.06790803846153846,0.0018216538461538455,0.0013041730769230767,0.07103386538461538
RollingRegression,0.028151376811594204,3.3732287826086953,7.005608434782609,10.406988594202899
SeasonalNaive,0.060543059523809534,0.0012823452380952376,0.0607177142857143,0.12254311904761908
UnobservedComponents,0.0376906393442623,0.009432934426229514,2.7101860819672137,2.757309655737706
VAR,0.02475279710144928,0.003208869565217391,0.14038384057971012,0.16834550724637684
VECM,0.045914911392405056,0.00015117721518987341,0.012357835443037974,0.058423924050632924
WindowRegression,0.031766350000000006,7.076003424999999,0.05454935000000001,7.162319124999999
ZeroesNaive,0.078948756097561,0.00029200000000000005,0.00026765853658536587,0.07950841463414635
