ID,Model,ModelParameters,TransformationParameters,Ensemble,Runs,smape,mae,rmse,made,mage,mle,imle,spl,containment,contour,maxe,oda,dwae,mqae,ewmae,uwmse,smoothness,smape_weighted,mae_weighted,rmse_weighted,made_weighted,mage_weighted,mle_weighted,imle_weighted,spl_weighted,maxe_weighted,oda_weighted,dwae_weighted,mqae_weighted,ewmae_weighted,uwmse_weighted,smoothness_weighted,containment_weighted,contour_weighted,TotalRuntimeSeconds,Score,index
705d69df2106fa96c5b7d61e7daca726,MultivariateRegression,"{""regression_model"": {""model"": ""RANSAC"", ""model_params"": {}}, ""mean_rolling_periods"": 12, ""macd_periods"": 41, ""std_rolling_periods"": 5, ""max_rolling_periods"": 60, ""min_rolling_periods"": 81, ""quantile90_rolling_periods"": 30, ""quantile10_rolling_periods"": 5, ""ewm_alpha"": null, ""ewm_var_alpha"": null, ""additional_lag_periods"": null, ""abs_energy"": false, ""rolling_autocorr_periods"": null, ""datepart_method"": ""expanded"", ""polynomial_degree"": null, ""regression_type"": null, ""window"": null, ""holiday"": false, ""probabilistic"": false, ""cointegration"": null, ""cointegration_lag"": 1}","{""fillna"": ""ffill_mean_biased"", ""transformations"": {""0"": ""AlignLastValue"", ""1"": ""MinMaxScaler"", ""2"": ""bkfilter"", ""3"": ""StandardScaler""}, ""transformation_params"": {""0"": {""rows"": 1, ""lag"": 1, ""method"": ""multiplicative"", ""strength"": 1.0, ""first_value_only"": false}, ""1"": {}, ""2"": {}, ""3"": {}}}",0,3,24.159313623383834,2715.5782813579594,3164.3035558155934,1.0865076216705034,59878.907535930084,909.291305773866,1809.1067233520546,2.1658907314237577,0.6591111111111111,0.4991111111111111,8475.55986876897,0.6451111111111111,18.065298186092466,2291.60522276496,11317.681564199054,14108.701440163408,83.09590481892191,21.73881372587432,2715.5782813579594,3164.3035558155934,1.0865076216705034,59878.907535930084,909.291305773866,1809.1067233520546,2.1658907314237577,8475.55986876897,0.6451111111111111,18.065298186092466,2291.60522276496,11317.681564199054,14108.701440163408,83.09590481892191,0.6591111111111111,0.4991111111111111,6.068866666666666,42.98444366218089,5618.0
1324bcb830151b9e9ce2c7565b793a31,AverageValueNaive,"{""method"": ""Median"", ""window"": 69}","{""fillna"": ""pchip"", ""transformations"": {""0"": ""ClipOutliers"", ""1"": ""PowerTransformer"", ""2"": ""AlignLastValue""}, ""transformation_params"": {""0"": {""method"": ""clip"", ""std_threshold"": 4, ""fillna"": null}, ""1"": {}, ""2"": {""rows"": 1, ""lag"": 1, ""method"": ""additive"", ""strength"": 0.7, ""first_value_only"": false}}}",0,3,23.72153390805271,3066.2512763341183,3657.6680649287596,0.9786486826498996,70692.34764379809,1425.2511966903237,1643.8454199105042,2.368144121676384,0.5557777777777778,0.40444444444444444,8610.829424893294,0.6244444444444445,20.70644322450852,2548.087905620258,14570.183383665628,19103.287203787037,0.0,21.3404452582636,3066.2512763341183,3657.6680649287596,0.9786486826498996,70692.34764379809,1425.2511966903237,1643.8454199105042,2.368144121676384,8610.829424893294,0.6244444444444445,20.70644322450852,2548.087905620258,14570.183383665628,19103.287203787037,0.0,0.5557777777777778,0.40444444444444444,0.0506,43.08281902844768,928.0
746e05b1b37211f410cc4fc6212ce425,AverageValueNaive,"{""method"": ""Median"", ""window"": 69}","{""fillna"": ""ffill_mean_biased"", ""transformations"": {""0"": ""ClipOutliers"", ""1"": ""PowerTransformer"", ""2"": ""AlignLastValue"", ""3"": ""AlignLastValue""}, ""transformation_params"": {""0"": {""method"": ""clip"", ""std_threshold"": 4, ""fillna"": null}, ""1"": {}, ""2"": {""rows"": 1, ""lag"": 1, ""method"": ""additive"", ""strength"": 0.7, ""first_value_only"": false}, ""3"": {""rows"": 1, ""lag"": 1, ""method"": ""additive"", ""strength"": 0.2, ""first_value_only"": true}}}",0,3,23.350724344315704,3029.284685093446,3617.392590844976,0.9783194143411943,69773.51351074927,1444.2697296567828,1587.8507618459587,2.368144121676384,0.5557777777777778,0.4068888888888889,8769.453606280313,0.6244444444444445,21.56070247868439,2515.613408866384,14315.816861746685,18803.415100865823,4.48045501506112,21.00122961701429,3029.284685093446,3617.392590844976,0.9783194143411943,69773.51351074927,1444.2697296567828,1587.8507618459587,2.368144121676384,8769.453606280313,0.6244444444444445,21.56070247868439,2515.613408866384,14315.816861746685,18803.415100865823,4.48045501506112,0.5557777777777778,0.4068888888888889,0.0542,44.08217118441534,5814.0
2df1e593cb4b90a5e8166215e79aa598,AverageValueNaive,"{""method"": ""Median"", ""window"": 69}","{""fillna"": ""median"", ""transformations"": {""0"": ""ClipOutliers"", ""1"": ""PowerTransformer"", ""2"": ""AlignLastValue"", ""3"": ""AlignLastValue""}, ""transformation_params"": {""0"": {""method"": ""clip"", ""std_threshold"": 4, ""fillna"": null}, ""1"": {}, ""2"": {""rows"": 1, ""lag"": 1, ""method"": ""additive"", ""strength"": 0.7, ""first_value_only"": false}, ""3"": {""rows"": 1, ""lag"": 1, ""method"": ""additive"", ""strength"": 0.2, ""first_value_only"": true}}}",0,3,23.350724344315704,3029.284685093446,3617.392590844976,0.9783194143411943,69773.51351074927,1444.2697296567828,1587.8507618459587,2.368144121676384,0.5557777777777778,0.4068888888888889,8769.453606280313,0.6244444444444445,21.56070247868439,2515.613408866384,14315.816861746685,18803.415100865823,4.48045501506112,21.00122961701429,3029.284685093446,3617.392590844976,0.9783194143411943,69773.51351074927,1444.2697296567828,1587.8507618459587,2.368144121676384,8769.453606280313,0.6244444444444445,21.56070247868439,2515.613408866384,14315.816861746685,18803.415100865823,4.48045501506112,0.5557777777777778,0.4068888888888889,0.05446666666666666,44.08217176683472,2244.0
86738efc4a2979c0b4570db68f459bec,ARDL,"{""lags"": 7, ""trend"": ""n"", ""order"": 2, ""causal"": true, ""regression_type"": ""common_fourier_rw""}","{""fillna"": ""ffill"", ""transformations"": {""0"": ""Round"", ""1"": ""SeasonalDifference"", ""2"": ""QuantileTransformer""}, ""transformation_params"": {""0"": {""decimals"": 1, ""on_transform"": true, ""on_inverse"": false}, ""1"": {""lag_1"": 7, ""method"": ""Median""}, ""2"": {""output_distribution"": ""normal"", ""n_quantiles"": 1000}}}",0,3,23.462831362974722,2448.6171349255455,3009.3721512700963,1.0571187564295037,54769.27733112012,1293.346242342305,1158.074614516638,2.102460659342087,0.8433333333333334,0.4977777777777778,8521.01661175414,0.6335555555555556,23.455963982028376,1968.7104746482194,11270.071702392752,14387.277748768713,555.5586032233809,20.35807443036978,2448.6171349255455,3009.3721512700963,1.0571187564295037,54769.27733112012,1293.346242342305,1158.074614516638,2.102460659342087,8521.01661175414,0.6335555555555556,23.455963982028376,1968.7104746482194,11270.071702392752,14387.277748768713,555.5586032233809,0.8433333333333334,0.4977777777777778,0.3145,45.46358278561761,6750.0
f180149f3a07165d10d1be45f311cab9,ARDL,"{""lags"": 7, ""trend"": ""c"", ""order"": 2, ""causal"": true, ""regression_type"": ""common_fourier_rw""}","{""fillna"": ""akima"", ""transformations"": {""0"": ""RobustScaler"", ""1"": ""SeasonalDifference"", ""2"": ""QuantileTransformer"", ""3"": ""MaxAbsScaler""}, ""transformation_params"": {""0"": {}, ""1"": {""lag_1"": 7, ""method"": ""Median""}, ""2"": {""output_distribution"": ""normal"", ""n_quantiles"": 1000}, ""3"": {}}}",0,3,23.84596929645332,2448.6367967595324,3009.3937590661367,1.0562349566494482,54768.93438036796,1293.3647075795955,1158.08052123661,2.1029732721614223,0.843111111111111,0.49688888888888894,8521.006649698855,0.6373333333333334,23.46184851723658,1968.728206303623,11270.145076412839,14387.716616003194,555.5558533788711,20.695271321686974,2448.6367967595324,3009.3937590661367,1.0562349566494482,54768.93438036796,1293.3647075795955,1158.08052123661,2.1029732721614223,8521.006649698855,0.6373333333333334,23.46184851723658,1968.728206303623,11270.145076412839,14387.716616003194,555.5558533788711,0.843111111111111,0.49688888888888894,0.2617333333333333,45.51466742887871,12185.0
27e1e490dd52d8f7472f4c7394a9dcb9,ARDL,"{""lags"": 7, ""trend"": ""c"", ""order"": 2, ""causal"": true, ""regression_type"": ""common_fourier_rw""}","{""fillna"": ""cubic"", ""transformations"": {""0"": ""RobustScaler"", ""1"": ""SeasonalDifference"", ""2"": ""QuantileTransformer"", ""3"": ""MaxAbsScaler""}, ""transformation_params"": {""0"": {}, ""1"": {""lag_1"": 7, ""method"": ""Median""}, ""2"": {""output_distribution"": ""normal"", ""n_quantiles"": 1000}, ""3"": {}}}",0,3,23.84596929645332,2448.6367967595324,3009.3937590661367,1.0562349566494482,54768.93438036796,1293.3647075795955,1158.08052123661,2.1029732721614223,0.843111111111111,0.49688888888888894,8521.006649698855,0.6373333333333334,23.46184851723658,1968.728206303623,11270.145076412839,14387.716616003194,555.5558533788711,20.695271321686974,2448.6367967595324,3009.3937590661367,1.0562349566494482,54768.93438036796,1293.3647075795955,1158.08052123661,2.1029732721614223,8521.006649698855,0.6373333333333334,23.46184851723658,1968.728206303623,11270.145076412839,14387.716616003194,555.5558533788711,0.843111111111111,0.49688888888888894,0.2627,45.514668452524894,1924.0
af716cfd431e96d4bcc33017d4f26506,ARDL,"{""lags"": 7, ""trend"": ""n"", ""order"": 2, ""causal"": true, ""regression_type"": ""common_fourier_rw""}","{""fillna"": ""cubic"", ""transformations"": {""0"": ""RobustScaler"", ""1"": ""SeasonalDifference"", ""2"": ""QuantileTransformer"", ""3"": ""MaxAbsScaler""}, ""transformation_params"": {""0"": {}, ""1"": {""lag_1"": 7, ""method"": ""Median""}, ""2"": {""output_distribution"": ""normal"", ""n_quantiles"": 1000}, ""3"": {}}}",0,3,23.845973638090754,2448.6397917611434,3009.39787728127,1.056235184424544,54769.01290004765,1293.3652271137332,1158.0829966986746,2.1029732616950274,0.843111111111111,0.49688888888888894,8521.01672054225,0.6373333333333334,23.46187692750718,1968.730859421632,11270.164084542397,14387.771102272178,555.5569110041021,20.69527492075116,2448.6397917611434,3009.39787728127,1.056235184424544,54769.01290004765,1293.3652271137332,1158.0829966986746,2.1029732616950274,8521.01672054225,0.6373333333333334,23.46187692750718,1968.730859421632,11270.164084542397,14387.771102272178,555.5569110041021,0.843111111111111,0.49688888888888894,0.2847,45.51478634238823,8824.0
d09227a503ed920a707389380308c7d0,ARDL,"{""lags"": 7, ""trend"": ""c"", ""order"": 2, ""causal"": true, ""regression_type"": ""common_fourier_rw""}","{""fillna"": ""zero"", ""transformations"": {""0"": ""RobustScaler"", ""1"": ""SeasonalDifference"", ""2"": ""QuantileTransformer"", ""3"": ""PositiveShift""}, ""transformation_params"": {""0"": {}, ""1"": {""lag_1"": 7, ""method"": ""Median""}, ""2"": {""output_distribution"": ""normal"", ""n_quantiles"": 1000}, ""3"": {}}}",0,3,23.84598442617273,2448.639097481565,3009.3972877613505,1.0562347448350389,54769.00011054898,1293.3658680331532,1158.081661033645,2.102972835338059,0.843111111111111,0.49688888888888894,8521.014770007925,0.6373333333333334,23.461866147753728,1968.7299789679607,11270.16113392934,14387.760096181017,555.5566076415222,20.695284557516903,2448.639097481565,3009.3972877613505,1.0562347448350389,54769.00011054898,1293.3658680331532,1158.081661033645,2.102972835338059,8521.014770007925,0.6373333333333334,23.461866147753728,1968.7299789679607,11270.16113392934,14387.760096181017,555.5566076415222,0.843111111111111,0.49688888888888894,0.33076666666666665,45.51481368849815,10523.0
086f95f673c0fb913ea2aa7134105414,ARDL,"{""lags"": 7, ""trend"": ""n"", ""order"": 2, ""causal"": true, ""regression_type"": ""common_fourier_rw""}","{""fillna"": ""cubic"", ""transformations"": {""0"": ""PositiveShift"", ""1"": ""SeasonalDifference"", ""2"": ""QuantileTransformer""}, ""transformation_params"": {""0"": {}, ""1"": {""lag_1"": 7, ""method"": ""Median""}, ""2"": {""output_distribution"": ""normal"", ""n_quantiles"": 1000}}}",0,3,23.846005046911916,2448.6369991849874,3009.3950233777614,1.0562361006942584,54768.95815847834,1293.3650771320213,1158.080343445283,2.10297325719686,0.8433333333333334,0.49688888888888894,8521.01648628607,0.636888888888889,23.461992685974593,1968.7281084152182,11270.14660229255,14387.749157848128,555.5568445526073,20.695302700829824,2448.6369991849874,3009.3950233777614,1.0562361006942584,54768.95815847834,1293.3650771320213,1158.080343445283,2.10297325719686,8521.01648628607,0.636888888888889,23.461992685974593,1968.7281084152182,11270.14660229255,14387.749157848128,555.5568445526073,0.8433333333333334,0.49688888888888894,0.2759333333333333,45.51481378736099,399.0
