Model,TransformationRuntime,FitRuntime,PredictRuntime,TotalRuntime
AverageValueNaive,0.031848461538461555,0.0006209615384615384,0.0031830961538461544,0.035652519230769245
DatepartRegression,0.032775250000000006,0.0,0.09998265000000003,0.13275789999999998
ETS,0.022729314285714286,2.9857142857142862e-05,0.18873600000000001,0.21149517142857147
FBProphet,0.03628467567567568,0.0004492432432432433,6.151232216216218,6.187966135135137
GLM,0.03493106756756757,0.00021114864864864866,0.24086208108108104,0.27600429729729736
GLS,0.04315268000000001,0.00097748,0.06337895999999998,0.10750912
GluonTS,0.034004246753246745,76.92213367532469,0.3650092727272728,77.3211471948052
LastValueNaive,0.04766621153846155,0.00105525,0.002564346153846154,0.0512858076923077
RollingRegression,0.025572000000000004,3.2753531884057976,4.198542753623188,7.499467942028986
SeasonalNaive,0.04370342857142858,0.001037845238095238,0.05920820238095241,0.10394947619047618
UnobservedComponents,0.05348637704918033,0.004569032786885247,1.9422232295081965,2.0002786393442618
VAR,0.020152449275362316,0.0017969420289855075,0.08276185507246378,0.10471124637681162
VECM,0.03862720253164556,0.0,0.027881784810126584,0.06650898734177216
WindowRegression,0.014677275000000004,3.988379050000001,0.018859375,4.021915700000001
ZeroesNaive,0.04707163414634148,7.348780487804878e-05,0.0011436829268292683,0.0482888048780488
