ID,Model,ModelParameters,TransformationParameters,TransformationRuntime,FitRuntime,PredictRuntime,TotalRuntime,Ensemble,Exceptions,Runs,ValidationRound,smape,mae,rmse,containment,spl,contour,smape_weighted,mae_weighted,rmse_weighted,containment_weighted,spl_weighted,contour_weighted,Score,TotalRuntimeSeconds
e8c7dd1af6e0f89728bfa70cb799fe75,SeasonalNaive,"{""method"": ""Mean"", ""lag_1"": 12, ""lag_2"": 96}","{""outlier_method"": null, ""outlier_threshold"": null, ""outlier_position"": null, ""fillna"": ""zero"", ""transformation"": ""DifferencedTransformer"", ""second_transformation"": ""RollingMean"", ""transformation_param"": ""100thN"", ""detrend"": null, ""third_transformation"": null, ""transformation_param2"": null, ""fourth_transformation"": ""StandardScaler"", ""discretization"": null, ""n_bins"": null, ""context_slicer"": ""6ForecastLength""}",0 days 00:00:00.373704000,0 days 00:00:00.003963000,0 days 00:00:02.308990000,0 days 00:00:02.686657000,0,,1,0,107.22364784929499,4.187206632653062,5.324174109636763,0.8935714285714286,0.7423250803636663,0.4907407407407407,107.22364784929499,4.187206632653062,5.324174109636763,0.8935714285714285,0.7423250803636668,0.4907407407407407,9.191490228386181,3.0
51468cfa1792af3482139a137e2d86b9,SeasonalNaive,"{""method"": ""Median"", ""lag_1"": 52, ""lag_2"": ""None""}","{""outlier_method"": null, ""outlier_threshold"": null, ""outlier_position"": ""first"", ""fillna"": ""fake date"", ""transformation"": ""DifferencedTransformer"", ""second_transformation"": null, ""transformation_param"": null, ""detrend"": null, ""third_transformation"": ""RollingMean"", ""transformation_param2"": ""28"", ""fourth_transformation"": null, ""discretization"": ""upper"", ""n_bins"": 25, ""context_slicer"": ""6ForecastLength""}",0 days 00:00:00.484498000,0 days 00:00:00.001995000,0 days 00:00:02.216106000,0 days 00:00:02.702599000,0,,1,0,95.01865656195554,3.8898997151853996,5.034145873426919,0.8260714285714285,0.7021473431053081,0.47148148148148145,95.01865656195555,3.889899715185399,5.034145873426918,0.8260714285714286,0.7021473431053081,0.4714814814814815,8.392819015534958,3.0
dacaf10b90ed045cf4e4fde1eb34dcf6,SeasonalNaive,"{""method"": ""Mean"", ""lag_1"": 12, ""lag_2"": ""None""}","{""outlier_method"": ""clip"", ""outlier_threshold"": 3, ""outlier_position"": ""first;last"", ""fillna"": ""fake date"", ""transformation"": null, ""second_transformation"": null, ""transformation_param"": null, ""detrend"": null, ""third_transformation"": ""RollingMean"", ""transformation_param2"": ""28"", ""fourth_transformation"": null, ""discretization"": ""upper"", ""n_bins"": 25, ""context_slicer"": null}",0 days 00:00:01.279135000,0 days 00:00:00.001996000,0 days 00:00:03.438032000,0 days 00:00:04.719163000,0,,1,0,102.84152658655859,3.8279622702817346,5.147426320324624,0.11035714285714283,1.5057244843982178,0.5037037037037038,102.84152658655856,3.827962270281734,5.147426320324623,0.11035714285714283,1.5057244843982174,0.5037037037037037,8.79121287822429,5.0
636c6e7c7c6dcd5145a765aee48b0326,SeasonalNaive,"{""method"": ""Mean"", ""lag_1"": 12, ""lag_2"": 96}","{""outlier_method"": null, ""outlier_threshold"": null, ""outlier_position"": null, ""fillna"": ""fake date"", ""transformation"": null, ""second_transformation"": null, ""transformation_param"": null, ""detrend"": null, ""third_transformation"": null, ""transformation_param2"": null, ""fourth_transformation"": null, ""discretization"": null, ""n_bins"": null, ""context_slicer"": null}",0 days 00:00:00.313380000,0 days 00:00:00.003988000,0 days 00:00:02.643187000,0 days 00:00:02.960555000,0,,1,0,107.33263072970777,3.5104806547619036,4.368585688639045,0.8557142857142856,0.5673084334825778,0.48222222222222194,107.33263072970777,3.510480654761905,4.368585688639043,0.8557142857142856,0.5673084334825778,0.48222222222222216,8.411585585414754,3.0
0e2ea61b49da771ab699aee894d705ec,AverageValueNaive,"{""method"": ""Median""}","{""outlier_method"": ""clip"", ""outlier_threshold"": 4, ""outlier_position"": ""first"", ""fillna"": ""fake date"", ""transformation"": null, ""second_transformation"": null, ""transformation_param"": null, ""detrend"": null, ""third_transformation"": null, ""transformation_param2"": null, ""fourth_transformation"": ""Detrend"", ""discretization"": null, ""n_bins"": null, ""context_slicer"": null}",0 days 00:00:00.525284000,0 days 00:00:00.000998000,0 days 00:00:00.066541000,0 days 00:00:00.592823000,0,,1,0,123.27308015344421,3.2919277427668425,4.199244956523963,0.5557142857142859,0.582427180803973,0.6377777777777777,123.27308015344423,3.2919277427668425,4.199244956523965,0.5557142857142857,0.5824271808039732,0.6377777777777779,8.945983118569975,1.0
3ff992aca683d52b1090776522e2c885,GLS,{},"{""outlier_method"": null, ""outlier_threshold"": null, ""outlier_position"": ""first"", ""fillna"": ""rolling mean"", ""transformation"": null, ""second_transformation"": null, ""transformation_param"": null, ""detrend"": null, ""third_transformation"": null, ""transformation_param2"": null, ""fourth_transformation"": null, ""discretization"": null, ""n_bins"": null, ""context_slicer"": null}",0 days 00:00:00.241539000,0 days 00:00:00.001992000,0 days 00:00:02.522617000,0 days 00:00:02.766148000,0,,1,0,101.88595612006668,3.3470281974264924,4.120926687291292,0.8096428571428572,0.6172722741296168,0.6377777777777777,101.8859561200667,3.347028197426491,4.120926687291292,0.8096428571428572,0.6172722741296168,0.6377777777777779,7.97227296273225,3.0
8ca39f77225156c8500750070369dc05,GLS,{},"{""outlier_method"": null, ""outlier_threshold"": null, ""outlier_position"": ""first"", ""fillna"": ""fake date"", ""transformation"": ""QuantileTransformer"", ""second_transformation"": ""FixedRollingMean"", ""transformation_param"": ""10"", ""detrend"": null, ""third_transformation"": null, ""transformation_param2"": null, ""fourth_transformation"": ""PCA"", ""discretization"": null, ""n_bins"": null, ""context_slicer"": null}",0 days 00:00:00.401606000,0 days 00:00:00.001998000,0 days 00:00:02.390409000,0 days 00:00:02.794013000,0,,1,0,87.22800030349717,3.3577651346892172,4.297426505206485,0.3535714285714286,1.36064594360897,0.37370370370370365,87.22800030349717,3.3577651346892186,4.297426505206486,0.35357142857142854,1.3606459436089704,0.37370370370370365,7.443006789172096,3.0
3e881cc4af4ab2c9412db3ac4ff89a4a,GLS,{},"{""outlier_method"": null, ""outlier_threshold"": null, ""outlier_position"": null, ""fillna"": ""fake date"", ""transformation"": null, ""second_transformation"": ""FixedRollingMean"", ""transformation_param"": ""10"", ""detrend"": null, ""third_transformation"": ""RollingMean"", ""transformation_param2"": ""10"", ""fourth_transformation"": ""PCA"", ""discretization"": null, ""n_bins"": null, ""context_slicer"": null}",0 days 00:00:00.667813000,0 days 00:00:00.000997000,0 days 00:00:02.285525000,0 days 00:00:02.954335000,0,,1,0,102.98567653267347,3.49137286636543,4.668844998802404,0.02678571428571429,1.5301121091141499,0.46999999999999986,102.98567653267347,3.4913728663654293,4.668844998802405,0.026785714285714288,1.5301121091141499,0.47,8.405175542500642,3.0
4f9f75e7a30ce3cfb2eb3bdd731b5bdb,ZeroesNaive,{},"{""outlier_method"": ""clip"", ""outlier_threshold"": 3, ""outlier_position"": ""middle"", ""fillna"": ""ffill"", ""transformation"": null, ""second_transformation"": ""SeasonalDifference"", ""transformation_param"": ""24"", ""detrend"": null, ""third_transformation"": null, ""transformation_param2"": null, ""fourth_transformation"": ""DifferencedTransformer"", ""discretization"": ""lower"", ""n_bins"": 25, ""context_slicer"": null}",0 days 00:00:00.620374000,0 days 00:00:00.000000000,0 days 00:00:00.000998000,0 days 00:00:00.621372000,0,,1,0,89.48800978497373,3.397857142857143,4.466358673582558,0.25071428571428567,1.4062639342463157,0.437037037037037,89.4880097849737,3.3978571428571427,4.466358673582558,0.25071428571428567,1.4062639342463155,0.437037037037037,7.6596371642266385,1.0
095220b68f644054b9276cf69841f314,ZeroesNaive,{},"{""outlier_method"": null, ""outlier_threshold"": null, ""outlier_position"": null, ""fillna"": ""ffill"", ""transformation"": null, ""second_transformation"": ""PositiveShift"", ""transformation_param"": null, ""detrend"": null, ""third_transformation"": ""QuantileTransformer"", ""transformation_param2"": null, ""fourth_transformation"": ""MaxAbsScaler"", ""discretization"": null, ""n_bins"": null, ""context_slicer"": 50}",0 days 00:00:00.642928000,0 days 00:00:00.001022000,0 days 00:00:00.000000000,0 days 00:00:00.643950000,0,,1,0,142.1428571428571,6.0771428571428565,6.9479234053736585,0.28928571428571437,1.877244055589957,0.36222222222222217,142.1428571428571,6.077142857142859,6.947923405373655,0.2892857142857143,1.877244055589957,0.36222222222222217,12.256364092385907,1.0
